Proficiency
Adaptability
Building Inclusivity
Communication
Creative Thinking
Customer Orientation
Decision Making
Developing People
Digital Fluency
Global Perspective
Influence
Interpersonal Skills
Leadership
Learning Agility
Problem Solving
Self Management
Sense Making
Teamwork
Transdisciplinary Thinking
